"","",""
"","",""
"Ketelhuis algemeen ","Centr.aanv.temp.ketels - 01-110TE03","Windheim_OS1_GRFMET_8"
"Ketelhuis algemeen ","Ber. centrale aanvoertemp. ketels - Ketels algemee","Windheim_OS1_GRFSYS_2"
"Ketelhuis algemeen ","Centr.retourtemp.ketels - 01-110TE04","Windheim_OS1_GRFMET_9"
"","",""
"Ketel 1","Stuursignaal ketel 1 (percentage) - Stuursignaal k","Windheim_OS1_GRFSYS_5"
"Ketel 1","Stuursignaal ketel 1 (status) - Stuursignaal ketel","Windheim_OS1_GRFSYS_6"
"Ketel 1","Ketelpomp ketel 1 (sturing) - Ketelpomp ketel 1 - ","Windheim_OS1_GRFSYS_7"
"Ketel 1","Aanvoertemp. ketel 1 - 01-110TE01","Windheim_OS1_GRFMET_3"
"","",""
"Ketel 2","Stuursignaal ketel 2 (percentage) - Stuursignaal k","Windheim_OS1_GRFSYS_10"
"Ketel 2","Stuursignaal ketel 2 (status) - Stuursignaal ketel","Windheim_OS1_GRFSYS_11"
"Ketel 2","Ketelpomp ketel 2 (sturing) - Ketelpomp ketel 2 - ","Windheim_OS1_GRFSYS_12"
"Ketel 2","Aanvoertemp. ketel 2 - 01-110TE02","Windheim_OS1_GRFMET_6"
"","",""
"Ketel 3","Stuursignaal ketel 3 (percentage) - Stuursignaal k","Windheim_OS1_GRFSYS_16"
"Ketel 3","Stuursignaal ketel 3 (status) - Stuursignaal ketel","Windheim_OS1_GRFSYS_17"
"Ketel 3","Ketelpomp ketel 3 (sturing) - Ketelpomp ketel 3 - ","Windheim_OS1_GRFSYS_19"
"Ketel 3","Ketelklep 1 (sturing) - Ketelklep 1 - 05-110CV01","Windheim_OS1_GRFSYS_1"
"Ketel 3","Ketelklep 2 (sturing) - Ketelklep 2 - 05-110CV02","Windheim_OS1_GRFSYS_3"
"","",""
"","",""
"Koelcentrale ","Uittredetemp. gkw - 06-220TE02","Windheim_OS6_GRFMET_10"
"Koelcentrale ","Lintverwarming (status) - Lintverwarming - 06-220T","Windheim_OS6_GRFSYS_19"
"Koelcentrale ","Intredetemp. gkw - 06-220TE03","Windheim_OS6_GRFMET_11"
"Koelcentrale ","Transportpomp 1 koelm. (status) - Transportpomp 1 ","Windheim_OS6_GRFSYS_16"
"Koelcentrale ","Transportpomp 2 koelm. (status) - Transportpomp 2 ","Windheim_OS6_GRFSYS_17"
"Koelcentrale ","Installatiedruk koelm. - 06-220PT01","Windheim_OS6_GRFMET_13"
"","",""
"Voorregelgroep cv spoorzijde","",""
"Voorregelgroep cv spoorzijde","Circulatiepomp (sturing) - Circulatiepomp - 01-111","Windheim_OS1_GRFSYS_25"
"Voorregelgroep cv spoorzijde","Ber. aanvoertemperatuur bedrijf - Temp.regelwaarde","Windheim_OS1_GRFSYS_21"
"Voorregelgroep cv spoorzijde","Aanvoertemperatuur - 01-111TT01","Windheim_OS1_GRFMET_14"
"Voorregelgroep cv spoorzijde","Retourtemperatuur - 01-111TT02","Windheim_OS1_GRFMET_15"
"Voorregelgroep cv spoorzijde","Afsluiter percentage - Afsluiter - 01-111CV01","Windheim_OS1_GRFSYS_22"
"","",""
"Voorregelgroep cv campuszijde","Circulatiepomp (status) - Circulatiepomp - 01-112P","Windheim_OS5_GRFSYS_31"
"Voorregelgroep cv campuszijde","Ber. aanvoertemperatuur bedrijf - Temp.regelwaarde","Windheim_OS5_GRFSYS_29"
"Voorregelgroep cv campuszijde","Aanvoertemperatuur - 01-112TE01","Windheim_OS5_GRFMET_11"
"Voorregelgroep cv campuszijde","Retourtemperatuur - 01-112TE02","Windheim_OS5_GRFMET_12"
